水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330902,定海区,舟山市,572,0.4243,0.0108,0.0229,0.2984,钱塘江,,0.7564,0.0001,0,,0.0001,0.017,0.0015,0.0214,0.0399,0.7964,0,0.7964,4.8087,,,,,,0,4.83,,,,,
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330903,普陀区,舟山市,462,0.1931,0.0116,0.015,0.3116,钱塘江,,0.5313,0,0,,0,0,0.0056,0.1579,0.1635,0.6948,0,0.6948,14.5878,,,,,,0,1.47456,,,,,
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330921,岱山县,舟山市,325,0.2113,0.0114,0.0145,0.0886,钱塘江,,0.3258,0,0,,0,0.0045,0.0025,1.4195,1.4265,1.7523,0,1.7523,44.1665,,,,,,0,4.5586,,,,,
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330922,嵊泗县,舟山市,97,0.0072,0,0,0.0145,太湖水系,,0.0217,0.0005,0,,0.0005,0,0.0007,0.0272,0.0279,0.0501,0,0.0501,0,,,,,,0,0.0272,,,,,
,,,,,,,,舟山市,1456,0.8359,0.0338,0.0524,0.7131,0,0,1.6352000000000002,0.0006000000000000001,0,0,0.0006000000000000001,0.021500000000000002,0.0103,1.626,1.6578000000000002,3.2936,0,3.2936,63.563,0,0,0,0,0,0,,,,,,
,东南诸河,浙东诸河,舟山群岛,,,,,舟山市,1456,0.8359,0.0338,0.0524,0.7131,0,0,1.6352000000000002,0.0006000000000000001,0,0,0.0006000000000000001,0.021500000000000002,0.0103,1.626,1.6578000000000002,3.2936,0,3.2936,63.563,0,0,0,0,0,0,,,,,,
,,,,,,,定海区,舟山市,572,0.4243,0.0108,0.0229,0.2984,0,0,0.7564,0.0001,0,0,0.0001,0.017,0.0015,0.0214,0.0399,0.7964,0,0.7964,4.8087,0,0,0,0,0,0,,,,,,
,,,,,,,普陀区,舟山市,462,0.1931,0.0116,0.015,0.3116,0,0,0.5313,0,0,0,0,0,0.0056,0.1579,0.1635,0.6948,0,0.6948,14.5878,0,0,0,0,0,0,,,,,,
,,,,,,,岱山县,舟山市,325,0.2113,0.0114,0.0145,0.0886,0,0,0.3258,0,0,0,0,0.0045,0.0025,1.4195,1.4265,1.7523,0,1.7523,44.1665,0,0,0,0,0,0,,,,,,
,,,,,,,嵊泗县,舟山市,97,0.0072,0,0,0.0145,0,0,0.0217,0.0005,0,0,0.0005,0,0.0007,0.0272,0.0279,0.0501,0,0.0501,0,0,0,0,0,0,0,,,,,,
