水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330902,定海区,舟山市,572,0.0668,0.0139,0,0.0807,0,0.0001,0.0001,0,0.0036,0.0001,0.0069,0.0108,0,0,0.0322,0.1885,0.0739,0.2946,0.0001,0.0148,0.1012,0.116,0,0.2026,0.0526,0.2552,0,0.0391,0,0.0391,0,0.7964,0.0001,,0.7964,0,0
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330903,普陀区,舟山市,462,0.0355,0.0336,0,0.0691,0,0.0002,0.001,0,0,0,0.0016,0.0028,0,0,0.079,0.1394,0.0258,0.2442,0,0.0081,0.1303,0.1384,0,0.1559,0.0553,0.2112,0,0.0291,0,0.0291,0,0.6948,0,,0.6948,0,0
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330921,岱山县,舟山市,325,0.0445,0.0166,0,0.0611,0,0,0.0005,0,0.0145,0,0.002,0.017,0,,,1.5159,0.0232,1.5391,0,0.0183,0.0237,0.042,0,0.0637,0.0183,0.082,0,0.0111,0,0.0111,0,1.7523,0,,1.7523,0,0
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330922,嵊泗县,舟山市,97,0.0002,0.0002,0,0.0004,0,0,0,0,0,0,0.0001,0.0001,0,,,0.0008,0.0023,0.0031,0.0001,0.002,0.0173,0.0193,0,0.0178,0.0067,0.0245,0.0004,0.0027,0,0.0027,0,0.0501,0.0005,,0.0501,0,0
,,,,,,,,舟山市,1456,0.147,0.06430000000000001,0,0.2113,0,0.00030000000000000003,0.0016,0,0.0181,0.0001,0.0106,0.0307,0,0,0.1112,1.8445999999999998,0.1252,2.0809999999999995,0.0002,0.0432,0.27249999999999996,0.3157,0,0.44,0.13290000000000002,0.5729,0.0004,0.082,0,0.082,0,3.2936,0.0006000000000000001,0,3.2936,0,0
,东南诸河,浙东诸河,舟山群岛,,,,,舟山市,1456,0.147,0.06430000000000001,0,0.2113,0,0.00030000000000000003,0.0016,0,0.0181,0.0001,0.0106,0.0307,0,0,0.1112,1.8445999999999998,0.1252,2.0809999999999995,0.0002,0.0432,0.27249999999999996,0.3157,0,0.44,0.13290000000000002,0.5729,0.0004,0.082,0,0.082,0,3.2936,0.0006000000000000001,0,3.2936,0,0
,,,,,,,定海区,舟山市,572,0.0668,0.0139,0,0.0807,0,0.0001,0.0001,0,0.0036,0.0001,0.0069,0.0108,0,0,0.0322,0.1885,0.0739,0.2946,0.0001,0.0148,0.1012,0.116,0,0.2026,0.0526,0.2552,0,0.0391,0,0.0391,0,0.7964,0.0001,0,0.7964,0,0
,,,,,,,普陀区,舟山市,462,0.0355,0.0336,0,0.0691,0,0.0002,0.001,0,0,0,0.0016,0.0028,0,0,0.079,0.1394,0.0258,0.2442,0,0.0081,0.1303,0.1384,0,0.1559,0.0553,0.2112,0,0.0291,0,0.0291,0,0.6948,0,0,0.6948,0,0
,,,,,,,岱山县,舟山市,325,0.0445,0.0166,0,0.0611,0,0,0.0005,0,0.0145,0,0.002,0.017,0,0,0,1.5159,0.0232,1.5391,0,0.0183,0.0237,0.042,0,0.0637,0.0183,0.082,0,0.0111,0,0.0111,0,1.7523,0,0,1.7523,0,0
,,,,,,,嵊泗县,舟山市,97,0.0002,0.0002,0,0.0004,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0.0008,0.0023,0.0031,0.0001,0.002,0.0173,0.0193,0,0.0178,0.0067,0.0245,0.0004,0.0027,0,0.0027,0,0.0501,0.0005,0,0.0501,0,0
