水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330902,定海区,舟山市,572,39.8,11.2,51,20.6126,229.1366,523.0126,772.7618,5,200.0478,,205.0478,0,198.5,11.33,11.3,4.3565,1.9135,0,6.27,1.78,0.015,0.015,0,0.033,0.0196,9.67,9.6896
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330903,普陀区,舟山市,462,28.1,10.6,38.7,103.4316,94.3501,290.3822,488.1639,12,108.1945,,120.1945,0,406,5.97,5.93,0.8435,2.6065,0,3.45,0.81,0.015,0.195,0,0,0.0009,2.32,2.3209
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330921,岱山县,舟山市,325,15.7,5.8,21.5,40.3619,619.7168,133.4284,793.5071,,634.5114,,634.5114,,,4.36,4.34,2.1524,1.3776,0,3.53,0.45,0,0.045,0,0.069,0.0013,3.02,3.0213
 ,东南诸河,浙东诸河,舟山群岛,舟山群岛,G020210,330922,嵊泗县,舟山市,97,4.4,2,6.4,50.8358,35.7101,85.8137,172.3596,,16.6544,,16.6544,,,0.28,0.27,0.0064,0.0236,0,0.03,0.02,0,0,0,0,0.0005,0.15,0.1505
,,,,,,,,舟山市,1456,88.00000000000001,29.599999999999998,117.60000000000001,215.22458838728832,978.4965755183358,1032.5151227699437,2226.2362866755675,17,959.3072098625904,0,976.3072098625904,0,604.5,21.94,21.84,7.3588,5.9212,0,13.279999999999998,3.06,0.03,0.255,0,0.10200000000000001,0.0223,15.16,15.1823
,东南诸河,浙东诸河,舟山群岛,,,,,舟山市,1456,88.00000000000001,29.599999999999998,117.60000000000001,215.22458838728832,978.4965755183358,1032.5151227699437,2226.2362866755675,17,959.3072098625904,0,976.3072098625904,0,604.5,21.94,21.84,7.3588,5.9212,0,13.279999999999998,3.06,0.03,0.255,0,0.10200000000000001,0.0223,15.16,15.1823
,,,,,,,定海区,舟山市,572,39.8,11.2,51,20.6126,229.1366,523.0126,772.7618,5,200.0478,0,205.0478,0,198.5,11.33,11.3,4.3565,1.9135,0,6.27,1.78,0.015,0.015,0,0.033,0.0196,9.67,9.6896
,,,,,,,普陀区,舟山市,462,28.1,10.6,38.7,103.4316,94.3501,290.3822,488.1639,12,108.1945,0,120.1945,0,406,5.97,5.93,0.8435,2.6065,0,3.45,0.81,0.015,0.195,0,0,0.0009,2.32,2.3209
,,,,,,,岱山县,舟山市,325,15.7,5.8,21.5,40.3619,619.7168,133.4284,793.5071,0,634.5114,0,634.5114,0,0,4.36,4.34,2.1524,1.3776,0,3.53,0.45,0,0.045,0,0.069,0.0013,3.02,3.0213
,,,,,,,嵊泗县,舟山市,97,4.4,2,6.4,50.8358,35.7101,85.8137,172.3596,0,16.6544,0,16.6544,0,0,0.28,0.27,0.0064,0.0236,0,0.03,0.02,0,0,0,0,0.0005,0.15,0.1505
