水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.8448,0.205,0.0383,,,,1.0881,0,0,0,0,0,0,0,0,1.0881,0,1.0881,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,1.1033,0.2679,0.05,,,,1.4212,0,0,0,0,0.123,0,0,0.123,1.5442,0,1.5442,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1669,0.0921,0.0191,,,,0.2781,0.0001,0,0,0.0001,0,0,0,0,0.2782,0,0.2782,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,1.0624,0.5979,0.0966,,,,1.7569,0.0003,0,0,0.0003,0.043,0,0,0.043,1.8002,0,1.8002,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.0006,0.0002,,,,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0.0008,0,,,,,,0,,,,,,
 ,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.1462,0.023,0.025,,,,0.1942,0,0,0,0,0,0,0,0,0.1942,0,0.1942,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.5928,0.2671,0.0571,,,,0.917,0,0,0,0,0.0423,0,0,0.0423,0.9593,0,0.9593,0,0,0,0,0,0,0,,,,,,
 ,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0621,0,0,,,,0.0621,0,0,0,0,0,0,0,0,0.0621,0,0.0621,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.6503,0.274,0.1749,,,,1.0992,0.003,0,0,0.003,0.0166,0,0,0.0166,1.1188,0,1.1188,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0015,0,0,,,,0.0015,0,0,0,0,0,0,0,0,0.0015,0,0.0015,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,1.2415,0.7224,0.1088,,,,2.0727,0,0,0,0,0.0266,0,0,0.0266,2.0993,0,2.0993,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,
 ,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.0496,0.0023,0.0019,,,,0.0538,0,0,0,0,0,0,0,0,0.0538,0,0.0538,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,1.1641,0.627,0.3584,,,,2.1495,0.0005,0,0,0.0005,0.0314,0,0,0.0314,2.1814,0.0384,2.2198,0,,0.0384,,,,0.0384,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,0.0281,0.0138,0.0011,,,,0.043,0,0,0,0,0,0,0,0,0.043,0,0.043,0,,,,,,0,,,,,,
,,,,,,,,衢州市,8845,7.1136,3.0930999999999997,0.9313999999999999,0,0,0,11.1381,0.0039000000000000003,0,0,0.0039000000000000003,0.2829,0,0,0.2829,11.424900000000001,0.0384,11.4633,0,0,0.0384,0,0,0,0.0384,,,,,,
,东南诸河,钱塘江,富春江坝址以上,,,,,衢州市,8287.5,6.855700000000001,3.0678,0.9045,0,0,0,10.828,0.0039000000000000003,0,0,0.0039000000000000003,0.2829,0,0,0.2829,11.114799999999999,0.0384,11.153199999999998,0,0,0.0384,0,0,0,0.0384,,,,,,
,长江,鄱阳湖水系,饶河,,,,,衢州市,272,0.0621,0,0,0,0,0,0.0621,0,0,0,0,0,0,0,0,0.0621,0,0.0621,0,0,0,0,0,0,0,,,,,,
,长江,鄱阳湖水系,信江,,,,,衢州市,285.5,0.1958,0.0253,0.0269,0,0,0,0.248,0,0,0,0,0,0,0,0,0.248,0,0.248,0,0,0,0,0,0,0,,,,,,
,,,,,,,衢州市,衢州市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,柯城区,衢州市,607,1.9481,0.4729,0.0883,0,0,0,2.5093,0,0,0,0,0.123,0,0,0.123,2.6323,0,2.6323,0,0,0,0,0,0,0,,,,,,
,,,,,,,衢江区,衢州市,1748,1.2293,0.6906,0.1159,0,0,0,2.0358,0.00039999999999999996,0,0,0.00039999999999999996,0.043,0,0,0.043,2.0792,0,2.0792,0,0,0,0,0,0,0,,,,,,
,,,,,,,常山县,衢州市,1097,0.739,0.2901,0.0821,0,0,0,1.1112,0,0,0,0,0.0423,0,0,0.0423,1.1535,0,1.1535,0,0,0,0,0,0,0,,,,,,
,,,,,,,开化县,衢州市,2231,0.7139,0.274,0.1749,0,0,0,1.1628,0.003,0,0,0.003,0.0166,0,0,0.0166,1.1824000000000001,0,1.1824000000000001,0,0,0,0,0,0,0,,,,,,
,,,,,,,龙游县,衢州市,1143,1.2415,0.7224,0.1088,0,0,0,2.0727,0,0,0,0,0.0266,0,0,0.0266,2.0993,0,2.0993,0,0,0,0,0,0,0,,,,,,
,,,,,,,江山市,衢州市,2019.0000000000002,1.2418,0.6431,0.3614,0,0,0,2.2463,0.0005,0,0,0.0005,0.0314,0,0,0.0314,2.2782,0.0384,2.3166,0,0,0.0384,0,0,0,0.0384,,,,,,
