水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.2076,0.0065,0,0.2141,0,0.0021,0.0095,0,0.5097,0.0002,0.0008,0.5223,0,0,0.0025,0.247,0,0.2495,0,0.0021,0.0235,0.0256,0,0.017,0.0353,0.0523,0,0.0243,0,0.0243,0,1.0881,0,,1.0881,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,0.2123,0.0071,0,0.2194,0,0.0021,0.01,0,0.0003,0.0001,0.0011,0.0136,0,0.3922,0,0.4553,0,0.8475,0,0.0183,0.213,0.2313,0,0.1675,0.0062,0.1737,0,0.0587,0,0.0587,0,1.5442,0,,1.5442,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1964,0.002,0,0.1984,0,0.0005,0.0121,0,0.0052,0.0007,0.0008,0.0193,0,,,0.0395,0,0.0395,0.0001,0.0005,0.0006,0.0011,0,0.0014,0.0152,0.0166,0,0.0029,0.0004,0.0033,0,0.2782,0.0001,,0.2782,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.9401,0.0249,0,0.965,0,0.003,0.0128,0,0.0316,0.0008,0.0094,0.0576,0,,,0.4517,0,0.4517,0.0003,0.0063,0.1564,0.1627,0,0.0771,0.0462,0.1233,0,0.0348,0.0051,0.0399,0,1.8002,0.0003,,1.8002,0,0
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0003,0,0.0003,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0,0.0008,0,,0.0008,0,0
 ,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.1513,0.0018,0,0.1531,0,0,0.0033,0,0.0026,0,0.0004,0.0063,0,,,0.0127,0,0.0127,0,0,0.0109,0.0109,0,0.0057,0.0043,0.01,0,0.0011,0.0001,0.0012,0,0.1942,0,,0.1942,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.4426,0.0247,0,0.4673,0,0,0.0246,0,0.014,0.0006,0.0055,0.0447,0,0,0.0555,0.1969,0,0.2524,0,0.0095,0.0537,0.0632,0,0.0678,0.0468,0.1146,0,0.0162,0.0009,0.0171,0,0.9593,0,,0.9593,0,0
 ,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0474,0.0051,0,0.0525,0,0,0.0005,0,0.0013,0,0.0002,0.002,0,,,0.0004,0,0.0004,0,0,0.0003,0.0003,0,0.0004,0.0054,0.0058,0,0.0011,0,0.0011,0,0.0621,0,,0.0621,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.7901,0.0278,0,0.8179,0,0,0.0044,0,0.0125,0.0002,0.0032,0.0203,0,0,0.0013,0.0594,0,0.0607,0.0024,0.0088,0.0782,0.087,0.0006,0.0762,0.0385,0.1147,0,0.0172,0.001,0.0182,0,1.1188,0.003,,1.1188,0,0
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0009,0.0003,0,0.0012,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0.0015,0,,0.0015,0,0
