水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,4.4,9.7,14.1,3.37,82.67,166.51,252.55,0.93,70.72,,71.65,0,23,6.874,5.1665,3.9054,0.7912,0,4.6966,0.9032,0.6,3.2174,0,0.0171,0.0802,2.2916,2.3718
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,39.6,1.5,41.1,5.79,190.1,257.29,453.18,2.32,157.58,,159.9,34.5,0,7.306,5.1135,3.8022,0.8462,0,4.6484,1.6309,0.6,3.4066,0,0.0039,0.0362,3.0333,3.0695
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.3,4.6,4.9,4.6,18.72,20.37,43.69,,16.8,,16.8,0,0,8.71,4.8655,4.1203,0.2823,0,4.4026,2.3331,0.18,4.1706,0,0.0575,0.3091,2.4045,2.7136
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,19,13.7,32.7,16.84,155.76,146.37,318.97,,139.65,,139.65,0,0,36.89,28.6645,22.5718,3.3656,0,25.9374,10.6291,1.12,4.5354,0,0.33,0.3645,25.5595,25.924
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.1,0.1,0.09,0,0,0.09,,0.18,,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,1.1,1.3,2.4,2.23,3.57,18.77,24.57,,2.82,,2.82,0,0,6.72,6.02,5.1114,0.3944,0,5.5058,0.9318,0,1.1825,0,0.027,0,1.0799,1.0799
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,13.2,10.8,24,7.76,86.43,104.56,198.75,1.94,66.35,,68.29,0,49.1,17.48,12,8.8973,2.6669,0,11.5642,5.1553,0,8.95,0,0.153,0.271,15.9292,16.2002
 ,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.1,1.7,1.8,4.16,2.32,3.26,9.74,,0.13,,0.13,0,0,3.0016,1.0998,0.8365,0.2625,0,1.099,0.3016,0,0.1545,0,0.0147,0,0.4502,0.4502
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,13.4,9.2,22.6,11.2,70.95,110.98,193.13,0.22,46.53,,46.75,0,0.6,30.7199,17.3209,13.2074,4.1009,0,17.3083,5.7676,0,1.29,0,0.1302,0.0684,9.4536,9.522
