水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.4668,0.0604,0.0084,,,,0.5356,0.002,0,,0.002,,0.0033,,0.0033,0.5409,0,0.5409,0,,,,,,,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,1.6063,0.2579,0.0204,,,,1.8846,0.0032,0,,0.0032,0.0022,0.0113,0,0.0135,1.9013,0,1.9013,0,,,,,,,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.5994,0.1216,0.2724,,,,0.9934,0.0043,0,,0.0043,,0.0096,,0.0096,1.0073,0,1.0073,0,,,,,,,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,1.131,0.0071,0.0021,,,,1.1402,0.0015,0,0,0.0015,,0.0046,,0.0046,1.1463,0,1.1463,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.086,0.1247,0.0968,,,,0.3075,,0,,0,,,,0,0.3075,0,0.3075,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.0865,0.018,0.0077,,,,0.1122,,0,,0,,0.0003,,0.0003,0.1125,0,0.1125,0,,,,,,,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.7932,0.0713,0.0388,,,,0.9033,,0,,0,,0.0041,,0.0041,0.9074,0,0.9074,0,,,,,,,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.2162,,,,,,0.2162,,0,,0,0.0014,0.0022,,0.0036,0.2198,0,0.2198,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.084,,,,,,0.084,,0,,0,,,,0,0.084,0,0.084,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.0461,,,,,,0.0461,,0,,0,,,,0,0.0461,0,0.0461,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.0308,,,,,,0.0308,,0,,0,,,,0,0.0308,0,0.0308,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.076,,,,,,0.076,,0,,0,,,,0,0.076,0,0.076,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.4051,0.1909,0.1605,0,0.0000,0,0.7565,0,0,0,0,0,0.0022,0,0.0022,0.7587,0,0.7587,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.1294,0.0236,0.3906,0,0.0000,0,0.5436,0.0024,0,0,0.0024,0,0.0008,0,0.0008,0.5468,0,0.5468,0,0,0,0,0,0,0,,,,,,
