水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,4.89,4.74,9.63,5.77,62.92,48.43,117.12,0.55,19.47,3.54,23.56,0,1.5,10.3,10.3,8.53,0.97,0,9.5,2.36,1.52,1.35,0,0.53,0.52,9.38,9.9
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,74.65,13.92,88.57,11.85,235.26,507.44,754.55,2.15,178.7,32.02,212.87,0,20.625,17.94,17.94,15.17,1.38,0,16.55,4.1,3.81,3.34,0,1.45,1.06,18.84,19.9
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,33.99,18.71,52.7,14.55,156.89,244.16,415.6,0,89.74,26.1,115.84,0,5.5,9.45,9.45,7.18,0.89,0,8.07,2.2,0.23,2.22,0,0.94,0.71,21.45,22.16
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,28.94,12.34,41.28,14.13,175.44,131.35,320.92,0.64,150.58,12.04,163.26,0,2.4,15.48,15.48,12.05,1.85,0,13.9,4.3,0.5889,2.4595,0,0.5682,0.1619,17.98,18.1419
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,2.39,3.73,6.12,3.02,20.22,50.06,73.3,0,0.07,1.7,1.77,0,0,5.99,5.99,4.57,0.81,0,5.38,1.67,0.3989,1.6797,0,0.0798,0.1518,10.78,10.9318
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,2.57,1.33,3.9,1.13,10.67,24.19,35.99,,6.38,2.72,9.1,,0,1.49,1.49,0.95,0.35,0,1.3,0.27,0.2,2.52,0,0.05,0.106,7.51,7.616
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,27.87,15.13,43,11.06,120.11,153.08,284.25,1.38,65.07,32.75,99.2,0,6.3,11.42,11.42,8.5,1.85,0,10.35,2.18,0.15,3.7,0,0.1,0,11.19,11.19
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,6.76,1.64,8.4,7.28,20.16,59.64,87.08,0.25,10.63,3.98,14.86,0,0.6,7.32,7.11,3.05,3.28,0,6.33,1.21,0.05,0.51,0,0.05,0.0083,1.6662,1.6745
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,1.98,2.2,4.18,1.87,21.39,7.91,31.17,,11.26,4.22,15.48,,,1.88,1.83,0.79,0.85,0,1.64,0.32,0.03,0.29,0,0.03,0.0083,0.9689,0.9772
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,1.08,1.99,3.07,1.18,4.05,6.45,11.68,,2.13,0.8,2.93,,,1.18,1.15,0.49,0.53,0,1.02,0.2,0.02,0.23,0,0.02,0.0037,0.8068,0.8105
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.08,0.94,1.02,0.95,6.32,5,12.27,,3.33,1.24,4.57,,,0.96,0.93,0.4,0.43,0,0.83,0.16,0.03,0.29,0,0.03,0.0049,0.9976,1.0025
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.11,1.12,1.23,3.79,1.27,7.55,12.61,,0.67,0.25,0.92,,,3.82,3.71,1.59,1.71,0,3.3,0.64,0.02,0.27,0,0.03,0.0047,0.9409,0.9456
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,7.58,5.61,13.19,9.95,65.38,73.83,149.16,0,29.03,12.14,41.17,0,0,14.87,14.87,12.25,1.89,0,14.14,3.14,0.36,4.53,0,2.34,0.3,13.33,13.63
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,3.42,2.58,6,6.38,37.47,58.85,102.7,9.4,29.19,10.36,48.95,0,264,4.8,4.8,3.31,1.49,0,4.8,1.07,0.11,2.96,0,0.24,0.13,7.08,7.21
 ,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,23.38,15.74,39.12,11.76,152.24,135.24,299.24,0,91.44,42.13,133.57,0,0,21.3,21.3,15.14,2.5,0,17.64,3.92,0.44,2.21,0,1.06,0.32,12.12,12.44
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.02,0.07,0.09,0.04,0.01,3.67,3.72,0,0.23,0.18,0.41,0,0,0.12,0.12,0.07,0.02,0,0.09,0.02,0.16,1.73,0,0.01,0.07,3.16,3.23
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,94.63,19.18,113.81,7.6361,312.1605,1430.118,1749.9146,,120.9571,118.4421,239.3992,0,0,6.6888,6.6888,4.5149,1.4104,0,5.9253,1.24,0.1539,1.5554,0,0.4474,0,8.9065,8.9065
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,32.4,6.65,39.05,16.6774,210.171,116.5423,343.3907,0.105,109.0912,114.4419,223.6381,0,0.45,12.6265,12.6265,8.5228,2.6624,0,11.1852,2.34,0.2908,2.9364,0,0.6312,0.0273,11.05,11.0773
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,32.36,6.58,38.94,3.9965,195.5585,210.6497,410.2047,,67.9867,74.606,142.5927,0,0,5.9147,5.9147,3.9923,1.2472,0,5.2395,1.09,0.1482,1.4112,0,0.3389,0,5.5435,5.5435
